# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 10K of event 'cpu_atom/cycles/P'
# Event count (approx.): 26096429668
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                  IPC   [IPC Coverage]
# ........  ......................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.13%  [.] _RNvMs4_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_21CanonicalEventInputV16string                                                                                                                                                                                                                                                                                                                                              -      -            
     0.13%  [.] _RINvNvXs0_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB8_8BTreeMappppENtNtCscI6d9CVNmLh_4core5clone5Clone5clone13clone_subtreeymNtNtBe_5alloc6GlobalECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                              -      -            
     0.12%  [.] _RNvNtCs8BrB9QZrL48_4sha26sha25611compress256                                                                                                                                                                                                                                                                                                                                                                                                                 -      -            
     0.12%  [.] _RNvMs2_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_26VerifiedSpoolShardReaderV111next_record                                                                                                                                                                                                                                                                                                                                   -      -            
     0.12%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay8keyboard10text_input7ru_emit20char_to_ru_key_event                                                                                                                                                                                                                                                                                                                                                                               -      -            
     0.12%  [.] _RINvMs10_NtNtNtCs40k4W9msRzi_5alloc11collections5btree4nodeINtB7_16BalancingContextymE25merge_tracking_child_edgeNtNtBd_5alloc6GlobalECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                     -      -            
     0.12%  [.] _RNvMNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field6formatNtB2_6Cursor2u8                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.11%  [.] _RNvMs4_NtCs40k4W9msRzi_5alloc7raw_vecNtB5_11RawVecInner15try_allocate_inCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                                                   -      -            


#
# (Cannot load tips.txt file, please install perf!)
#
