# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 6K of event 'cpu_atom/cycles/P'
# Event count (approx.): 17014286261
#
# Overhead  Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                            IPC   [IPC Coverage]
# ........  ................................................................................................................................................................................................................................................................................................................................................................................................................................................................  ....................
#
     0.79%  [.] _RNvXNtNtCs40k4W9msRzi_5alloc3vec21spec_from_iter_nestedINtB4_3VecmEINtB2_18SpecFromIterNestedmINtNtNtNtCscI6d9CVNmLh_4core4iter8adapters3map3MapNtNtNtB1D_3str4iter5CharsNvYmINtNtB1D_7convert4FromcE4fromEE9from_iterCsiTbic97zBM6_3lay                                                                                                                                                                                                                     -      -            
     0.74%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16format24validate_directory_entry                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.70%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15proof12sample_cases                                                                                                                                                                                                                                                                                                                                                                        -      -            
     0.66%  [.] _RINvXse_NtCs40k4W9msRzi_5alloc6stringNtB6_6StringINtNtNtNtCscI6d9CVNmLh_4core4iter6traits7collect6ExtendRcE6extendINtNtNtBU_5slice4iter4ItercEECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                            -      -            
     0.62%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV129execute_packaged_program_into                                                                                                                                                                                                                                                                                                     -      -            
     0.61%  [.] __memcmp_avx2_movbe                                                                                                                                                                                                                                                                                                                                                                                                                                           -      -            
     0.59%  [.] _RNvMs_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v17recordsNtB4_15MorphOpRecordV18validate                                                                                                                                                                                                                                                                                                                                                  -      -            
     0.56%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional14typed_atom_key                                                                                                                                                                                                                                                                                                                                                                              -      -            
     0.55%  [.] _RNvMsi_NtNtNtCs40k4W9msRzi_5alloc11collections5btree3mapINtB5_8BTreeMapmNtNtB7_7set_val9SetValZSTE6insertCsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                                  -      -            
     0.53%  [.] cfree@GLIBC_2.2.5                                                                                                                                                                                                                                                                                                                                                                                                                                             -      -            
     0.44%  [.] _RINvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional21decode_delta_postingsNCINvB2_19validate_read_indexNtB2_25CompactLemmaWaveIndexViewEs9_0EB8_                                                                                                                                                                                                                                                                                                -      -            
     0.44%  [.] _RINvNvMs2_NtCs40k4W9msRzi_5alloc7raw_vecINtB8_11RawVecInnerpE7reserve21do_reserve_and_handleNtNtBa_5alloc6GlobalECsiTbic97zBM6_3lay                                                                                                                                                                                                                                                                                                                          -      -            
     0.37%  [.] _RNvMs_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field14compact_formatNtB4_18CompactPackageView17binding_for_lemma                                                                                                                                                                                                                                                                                                                                              -      -            
     0.36%  [.] _RNvNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16events28decode_verified_spool_record                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.36%  [.] malloc_consolidate                                                                                                                                                                                                                                                                                                                                                                                                                                            -      -            
     0.35%  [.] _RNvMs_NtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field14compact_formatNtB4_18CompactPackageView27validate_bindings_and_edges                                                                                                                                                                                                                                                                                                                                    -      -            
     0.32%  [.] _RNvNtNtNtCscI6d9CVNmLh_4core7unicode12unicode_data11conversions6lookup                                                                                                                                                                                                                                                                                                                                                                                       -      -            
     0.30%  [.] unlink_chunk.constprop.0                                                                                                                                                                                                                                                                                                                                                                                                                                      -      -            
     0.30%  [.] _RINvXNtCs9HbeI0rEit4_6digest6digestINtNtNtB5_8core_api7wrapper11CoreWrapperINtNtBC_11ct_variable21CtVariableCoreWrapperNtNtCs8BrB9QZrL48_4sha28core_api13Sha256VarCoreINtNtCsgNkfPgJQxtO_7typenum4uint4UIntIB2F_IB2F_IB2F_IB2F_IB2F_NtB2H_5UTermNtNtB2J_3bit2B1ENtB3S_2B0EB46_EB46_EB46_EB46_ENtB1X_9OidSha256EENtB3_6Digest6digestRINtNtCs40k4W9msRzi_5alloc3vec3VechEECsiTbic97zBM6_3lay                                                                   -      -            
     0.29%  [.] _RNvMs7_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v116packaged_runtimeNtB5_27PackagedProductiveRuntimeV116evaluate_checked                                                                                                                                                                                                                                                                                                                  -      -            
     0.27%  [.] _RNvMs0_NtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v16eventsNtB5_22TypedProductiveEventV18envelope                                                                                                                                                                                                                                                                                                                                           -      -            
     0.27%  [.] _RNvNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13compositional9hash_atom                                                                                                                                                                                                                                                                                                                                                                                    -      -            
     0.26%  [.] _RNvMNtNtNtNtCsiTbic97zBM6_3lay10nanda_wave8l2_field13productive_v15sceneNtB2_14L2LocalSceneV18validate                                                                                                                                                                                                                                                                                                                                                       -      -            
